+   1 | INSERTED | VALID LINE |    0R    1W
+   2 | INSERTED | VALID LINE |    2R    1W
+   3 | INSERTED | VALID LINE |    2R    1W
+   4 | INSERTED | VALID LINE |    2R    1W
+   5 | INSERTED | VALID LINE |    2R    1W
+   6 | INSERTED | VALID LINE |    2R    1W
+   7 | INSERTED | VALID LINE |    2R    1W
+   8 | INSERTED | VALID LINE |    2R    1W
+   9 | INSERTED | VALID LINE |    2R    1W
+  10 | INSERTED | VALID LINE |    2R    1W
+  11 | INSERTED | VALID LINE |    2R    1W
+  12 | INSERTED | VALID LINE |    2R    1W
+  13 | INSERTED | VALID LINE |    2R    1W
+  14 | INSERTED | VALID LINE |    2R    1W
+  15 | INSERTED | MISSING: FIRST_NAME |    2R    1W
+  16 | INSERTED | MISSING: LAST_NAME |    2R    1W
+  17 | INSERTED | VALID LINE |    2R    1W
+  18 | INSERTED | MISSING: FIRST_NAME |    2R    1W
+  19 | INSERTED | VALID LINE |    2R    1W
+  20 | INSERTED | VALID LINE |    2R    1W
+  21 | INSERTED | VALID LINE |    2R    1W
+  22 | INSERTED | VALID LINE |    2R    1W
+  23 | INSERTED | MISSING: BIRTH_DATE |    2R    1W
+  24 | INSERTED | VALID LINE |    2R    1W
+  25 | INSERTED | VALID LINE |    2R    1W
+  26 | INSERTED | VALID LINE |    2R    1W
+  27 | INSERTED | VALID LINE |    2R    1W
+  28 | INSERTED | VALID LINE |    2R    1W
+  29 | INSERTED | VALID LINE |    2R    1W
+  30 | INSERTED | VALID LINE |    2R    1W
+  31 | INSERTED | VALID LINE |    2R    1W
+  32 | INSERTED | VALID LINE |    2R    1W
+  33 | INSERTED | VALID LINE |    2R    1W
+  34 | INSERTED | VALID LINE |    2R    1W
+  35 | INSERTED | VALID LINE |    3R    1W
+  36 | INSERTED | VALID LINE |    2R    1W
+  37 | INSERTED | VALID LINE |    2R    1W
+  38 | INSERTED | VALID LINE |    2R    1W
+  39 | INSERTED | VALID LINE |    2R    1W
+  40 | INSERTED | VALID LINE |    2R    1W
+  41 | INSERTED | VALID LINE |    2R    1W
+  42 | INSERTED | VALID LINE |    2R    1W
+  43 | INSERTED | VALID LINE |    2R    1W
+  44 | INSERTED | VALID LINE |    2R    1W
+  45 | INSERTED | VALID LINE |    2R    1W
+  46 | INSERTED | VALID LINE |    2R    1W
+  47 | INSERTED | VALID LINE |    2R    1W
+  48 | INSERTED | MISSING: BIRTH_DATE |    2R    1W
+  49 | INSERTED | VALID LINE |    2R    1W
+  50 | INSERTED | MISSING: BIRTH_DATE |    2R    1W
+  51 | INSERTED | VALID LINE |    2R    1W
+  52 | INSERTED | VALID LINE |    2R    1W
+  53 | INSERTED | MISSING: BIRTH_CITY |    3R    1W
+  54 | INSERTED | VALID LINE |    2R    1W
+  55 | INSERTED | VALID LINE |    2R    1W
+  56 | INSERTED | VALID LINE |    2R    1W
+  57 | INSERTED | VALID LINE |    2R    1W
+  58 | INSERTED | VALID LINE |    3R    1W
+  59 | INSERTED | VALID LINE |    2R    1W
+  60 | INSERTED | VALID LINE |    3R    1W
+  61 | INSERTED | MISSING: BIRTH_CITY |    2R    2W
+  62 | INSERTED | VALID LINE |    3R    2W
+  63 | INSERTED | VALID LINE |    3R    2W
+  64 | INSERTED | VALID LINE |    3R    2W
+  65 | INSERTED | VALID LINE |    3R    2W
+  66 | INSERTED | VALID LINE |    3R    2W
+  67 | INSERTED | VALID LINE |    3R    2W
+  68 | INSERTED | VALID LINE |    3R    2W
+  69 | INSERTED | VALID LINE |    3R    2W
+  70 | INSERTED | VALID LINE |    3R    2W
+  71 | INSERTED | VALID LINE |    3R    2W
+  72 | INSERTED | VALID LINE |    3R    1W
+  73 | INSERTED | VALID LINE |    3R    2W
+  74 | INSERTED | VALID LINE |    3R    2W
+  75 | INSERTED | VALID LINE |    3R    2W
+  76 | INSERTED | VALID LINE |    3R    2W
+  77 | INSERTED | VALID LINE |    3R    2W
+  78 | INSERTED | VALID LINE |    3R    2W
+  79 | INSERTED | VALID LINE |    3R    2W
+  80 | INSERTED | VALID LINE |    3R    1W
+  81 | INSERTED | VALID LINE |    3R    2W
+  82 | INSERTED | VALID LINE |    3R    2W
+  83 | INSERTED | VALID LINE |    5R    2W
+  84 | INSERTED | VALID LINE |    3R    2W
+  85 | INSERTED | VALID LINE |    3R    2W
+  86 | INSERTED | VALID LINE |    3R    1W
+  87 | INSERTED | VALID LINE |    3R    1W
+  88 | INSERTED | VALID LINE |    3R    2W
+  89 | INSERTED | VALID LINE |    3R    1W
+  90 | INSERTED | VALID LINE |    3R    1W
+  91 | INSERTED | MISSING: BIRTH_CITY |    3R    2W
+  92 | INSERTED | VALID LINE |    3R    2W
+  93 | INSERTED | VALID LINE |    3R    2W
+  94 | INSERTED | MISSING: FIRST_NAME |    3R    2W
+  95 | INSERTED | MISSING: BIRTH_CITY |    3R    2W
+  96 | INSERTED | VALID LINE |    3R    1W
+  97 | INSERTED | VALID LINE |    3R    2W
+  98 | INSERTED | VALID LINE |    4R    1W
+  99 | INSERTED | MISSING: FIRST_NAME |    3R    1W
+ 100 | INSERTED | VALID LINE |    3R    2W
+ 101 | INSERTED | VALID LINE |    3R    2W
+ 102 | INSERTED | VALID LINE |    3R    1W
+ 103 | INSERTED | VALID LINE |    3R    1W
+ 104 | INSERTED | VALID LINE |    3R    1W
+ 105 | INSERTED | VALID LINE |    3R    2W
+ 106 | INSERTED | MISSING: BIRTH_CITY |    3R    1W
+ 107 | INSERTED | VALID LINE |    3R    2W
+ 108 | INSERTED | VALID LINE |    3R    2W
+ 109 | INSERTED | MISSING: BIRTH_CITY |    3R    2W
+ 110 | INSERTED | VALID LINE |    3R    1W
+ 111 | INSERTED | VALID LINE |    3R    1W
+ 112 | INSERTED | VALID LINE |    4R    1W
+ 113 | INSERTED | VALID LINE |    3R    1W
+ 114 | INSERTED | VALID LINE |    3R    1W
+ 115 | INSERTED | VALID LINE |    5R    2W
+ 116 | INSERTED | VALID LINE |    3R    1W
+ 117 | INSERTED | VALID LINE |    3R    2W
+ 118 | INSERTED | VALID LINE |    3R    1W
+ 119 | INSERTED | VALID LINE |    3R    2W
+ 120 | INSERTED | VALID LINE |    3R    1W
+ 121 | INSERTED | VALID LINE |    3R    2W
+ 122 | INSERTED | VALID LINE |    5R    3W
+ 123 | INSERTED | VALID LINE |    3R    2W
+ 124 | INSERTED | VALID LINE |    5R    3W
+ 125 | INSERTED | VALID LINE |    5R    3W
+ 126 | INSERTED | VALID LINE |    3R    2W
+ 127 | INSERTED | VALID LINE |    3R    2W
+ 128 | INSERTED | VALID LINE |    3R    2W
+ 129 | INSERTED | VALID LINE |    3R    1W
+ 130 | INSERTED | VALID LINE |    5R    3W
+ 131 | INSERTED | VALID LINE |    3R    2W
+ 132 | INSERTED | MISSING: FIRST_NAME |    3R    2W
+ 133 | INSERTED | MISSING: LAST_NAME |    3R    2W
+ 134 | INSERTED | MISSING: FIRST_NAME |    5R    3W
+ 135 | INSERTED | VALID LINE |    3R    1W
+ 136 | INSERTED | VALID LINE |    3R    2W
+ 137 | INSERTED | VALID LINE |    5R    2W
+ 138 | INSERTED | VALID LINE |    5R    3W
+ 139 | INSERTED | VALID LINE |    5R    3W
+ 140 | INSERTED | VALID LINE |    5R    3W
+ 141 | INSERTED | VALID LINE |    5R    2W
+ 142 | INSERTED | VALID LINE |    3R    2W
+ 143 | INSERTED | VALID LINE |    3R    2W
+ 144 | INSERTED | VALID LINE |    5R    3W
+ 145 | INSERTED | MISSING: FIRST_NAME |    3R    2W
+ 146 | INSERTED | VALID LINE |    3R    2W
+ 147 | INSERTED | VALID LINE |    5R    3W
+ 148 | INSERTED | VALID LINE |    5R    3W
+ 149 | INSERTED | MISSING: LAST_NAME |    5R    3W
